WORD_ID;MODE;ENABLED
8453ce8a-5f48-3f79-8b80-ab45194782a0;match;true
01057ce9-599c-35bb-a462-466aaedd14f8;match;true
673afcba-63b8-315f-8d3b-791e4e499116;flashcards;true
673afcba-63b8-315f-8d3b-791e4e499116;match;true
1c7ecc57-7a22-3a3c-b764-5220a8f5a2d6;flashcards;true
1c7ecc57-7a22-3a3c-b764-5220a8f5a2d6;match;true
1db66d9c-1815-329a-9b54-c43643be62e3;flashcards;true
1db66d9c-1815-329a-9b54-c43643be62e3;match;true
788f84b2-887e-3ff0-b73d-5e262ac43250;flashcards;true
788f84b2-887e-3ff0-b73d-5e262ac43250;match;true
55f54068-c908-3ee5-9f1e-dcb34b3fbf6b;match;true
61bb31a4-0603-3426-aa4e-4d4afa8395ca;flashcards;true
61bb31a4-0603-3426-aa4e-4d4afa8395ca;match;true
a2320d57-7495-3d74-a73f-02555e73c36b;flashcards;true
a2320d57-7495-3d74-a73f-02555e73c36b;match;true
882d710a-3e78-331a-be4a-b1d1e8a12da0;flashcards;true
882d710a-3e78-331a-be4a-b1d1e8a12da0;match;true
b9d9e6c9-9116-3fde-a5e1-de77c46e30e4;flashcards;true
b9d9e6c9-9116-3fde-a5e1-de77c46e30e4;match;true
78270911-4a65-3b50-a0ab-efd9283d0d3d;flashcards;true
78270911-4a65-3b50-a0ab-efd9283d0d3d;match;true
752451f8-8d30-3fd3-be6b-26dc74af09d2;flashcards;true
752451f8-8d30-3fd3-be6b-26dc74af09d2;match;true
6cb7ad4f-df13-3ce1-9895-841212243600;flashcards;true
6cb7ad4f-df13-3ce1-9895-841212243600;match;true
a3febea3-1ee5-3013-ae5c-bcf82daf7c12;flashcards;true
a3febea3-1ee5-3013-ae5c-bcf82daf7c12;match;true
02b906ad-7a5e-33ed-981f-0578f3a69d68;match;true
adf137e3-0293-3c3b-bfba-5007695d5a5d;flashcards;true
adf137e3-0293-3c3b-bfba-5007695d5a5d;match;true
3e10e6c5-01e8-3725-9ac1-d1808c442fca;match;true
3905bd92-7882-3115-bc02-1bee106806a7;flashcards;true
3905bd92-7882-3115-bc02-1bee106806a7;match;true
aa2bbe3d-7db4-36bc-9a11-220ef35a66c7;flashcards;true
aa2bbe3d-7db4-36bc-9a11-220ef35a66c7;match;true
b7a0bb09-fdfc-3b0b-988f-bef454ceada8;flashcards;true
b7a0bb09-fdfc-3b0b-988f-bef454ceada8;match;true
032d8ca7-2f6d-3dc0-9c74-d974bc64d321;flashcards;true
032d8ca7-2f6d-3dc0-9c74-d974bc64d321;match;true
1b428934-f8b7-3f84-b1de-e79b15c40a66;flashcards;true
1b428934-f8b7-3f84-b1de-e79b15c40a66;match;true
ab489605-ed4c-39ec-b1b4-4da62d710a73;flashcards;true
ab489605-ed4c-39ec-b1b4-4da62d710a73;match;true
33197143-dc86-3755-a750-b7a159700b41;flashcards;true
33197143-dc86-3755-a750-b7a159700b41;match;true
b5f35945-882c-3404-8f0a-40c078125ed5;flashcards;true
